!SESSION 2020-04-20 11:38:11.823 -----------------------------------------------
eclipse.buildId=3.9.0.201707061823-RELEASE-e47
java.version=1.8.0_131
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=zh_CN
Framework arguments:  -product org.springsource.sts.ide -product org.springsource.sts.ide
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.springsource.sts.ide -data D:\desktop\hello-apache-Dubbo -product org.springsource.sts.ide

This is a continuation of log file D:\desktop\hello-apache-Dubbo\.metadata\.bak_9.log
Created Time: 2020-04-20 13:51:51.515

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.516
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.516
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.517
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.700
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.701
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.750
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.925
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.976
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:51.977
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.219
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.220
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.221
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.389
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.390
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.391
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.593
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.594
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.595
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.797
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.797
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.798
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:52.986
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.037
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.038
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.142
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.193
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.193
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.348
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.363
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.363
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.466
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.467
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.467
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.692
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.693
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.693
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.830
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.881
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.882
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:53.996
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.047
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.048
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.152
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.203
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.203
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.312
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.362
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.362
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.480
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.530
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.531
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.656
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.657
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.657
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.867
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.868
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.868
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.982
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.983
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:54.983
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.174
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.225
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.225
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.375
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.375
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.376
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.599
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.600
!MESSAGE Non IFiles not supported yet

!ENTRY org.eclipse.lsp4e 1 0 2020-04-20 13:51:55.600
!MESSAGE Non IFiles not supported yet

